price,quantity,timestamp,buy_or_sell,limit_or_market,
569.60000,0.15492435,1527827372.4721,b,l,
569.66000,0.15535327,1527827372.4783,b,l,
569.67000,4.68972238,1527827372.4817,b,l,
569.59000,4.16400000,1527827374.2995,s,l,
569.66000,5.36500000,1527827419.4413,s,l,
569.48000,5.00000000,1527827445.4809,s,m,
569.40000,0.11098474,1527827445.4869,s,m,
569.29000,5.88500000,1527827445.4902,s,m,
569.24000,0.16000000,1527827445.4935,s,m,
568.58000,5.99000000,1527827445.4964,s,m,
568.50000,25.21285225,1527827445.4996,s,m,
568.50000,0.32058150,1527827445.5031,s,m,
569.65000,5.00000000,1527827465.1673,s,m,
568.93000,2.43420000,1527827465.2526,s,m,
568.92000,0.29390841,1527827465.2593,s,m,
568.70000,1.95131009,1527827465.2623,s,m,
568.70000,4.03868991,1527827465.267,s,m,
568.61000,3.96131009,1527827465.2708,s,m,
568.61000,25.00000000,1527827465.2749,s,m,
569.30000,1.50000000,1527827520.9268,s,m,
569.17000,5.00000000,1527827520.9482,s,m,
569.16000,0.26458222,1527827520.9524,s,m,
569.14000,5.00000000,1527827520.9552,s,m,
568.74000,18.23541778,1527827520.958,s,m,
569.63000,1.36031841,1527827524.1115,b,l,
569.65000,0.08668008,1527827529.6843,b,l,
569.65000,0.08488962,1527827529.692,b,l,
569.66000,0.08320326,1527827529.6946,b,l,
569.67000,3.99522704,1527827529.6975,b,l,
569.67000,14.24100000,1527827543.8032,b,l,
569.67000,3.02769773,1527827566.0977,b,l,
569.67000,14.24100000,1527827659.3856,b,l,
569.67000,14.24100000,1527827676.3711,b,l,
569.67000,14.24100000,1527827680.1152,b,l,
569.67000,0.03700000,1527827693.1949,b,l,
569.66000,0.02616308,1527827718.0181,s,m,
569.66000,0.00006784,1527827718.0273,s,m,
569.66000,0.00000018,1527827718.0292,s,m,
569.67000,14.24100000,1527827755.0174,b,l,
569.67000,14.24100000,1527827762.5667,b,l,
569.67000,1.50291334,1527827777.2063,b,l,
569.70000,12.73808666,1527827777.2154,b,l,
569.69000,1.00000000,1527827806.8141,s,m,
569.70000,14.24100000,1527827823.0512,b,l,
569.69000,47.96075240,1527827838.4331,s,l,
569.69000,0.88500000,1527827838.4384,s,l,
569.59000,37.96864875,1527827838.4416,s,l,
569.58000,1.00000000,1527827838.4441,s,l,
569.61000,0.07891561,1527827843.6698,s,l,
569.68000,0.08220884,1527827879.1388,b,m,
569.69000,0.04779116,1527827879.1698,b,m,
569.68000,0.06407968,1527827941.363,b,l,
569.69000,0.37070292,1527827941.4031,b,l,
569.28000,0.29187501,1527827998.4854,s,l,
569.20000,2.00000000,1527827998.4948,s,l,
569.00000,2.00000000,1527828009.6781,b,l,
569.00000,3.05530830,1527828009.7061,b,l,
568.93000,0.52153979,1527828091.2852,s,l,
568.88000,5.00000000,1527828127.3139,s,m,
568.58000,15.00000000,1527828127.3225,s,m,
568.58000,0.55271596,1527828163.4141,s,m,
568.58000,2.03656300,1527828163.423,s,m,
568.58000,0.00072104,1527828163.4251,s,m,
568.89000,0.04847089,1527828170.545,b,l,
568.89000,0.04967910,1527828170.5491,b,l,
568.89000,0.05007242,1527828170.5516,b,l,
568.90000,0.01777759,1527828170.5554,b,l,
568.70000,0.34870936,1527828311.2277,s,m,
568.70000,0.00090064,1527828311.2334,s,m,
568.90000,1.34400000,1527828326.1538,b,l,
568.90000,0.34199011,1527828386.8477,b,l,
568.90000,0.29690000,1527828387.4542,b,l,
568.90000,0.10310000,1527828407.5197,b,l,
568.90000,0.08946263,1527828454.2037,b,l,
568.90000,0.03143015,1527828478.598,b,l,
568.90000,0.60843525,1527828479.4593,b,l,
568.90000,20.17236448,1527828492.1968,b,l,
569.00000,1.92548915,1527828492.4222,b,l,
569.00000,6.21000000,1527828492.5639,b,l,
569.00000,4.58200000,1527828492.7838,b,l,
569.00000,0.62497754,1527828493.918,b,l,
569.57000,0.02700000,1527828495.3581,b,l,
569.57000,0.02300000,1527828495.6455,b,m,
569.64000,0.02300000,1527828495.6497,b,m,
569.65000,0.03200000,1527828495.6526,b,m,
569.70000,13.91000000,1527828499.3838,b,l,
569.70000,1.17500000,1527828500.0899,b,l,
569.70000,7.93591334,1527828500.7582,b,l,
569.84000,0.02500000,1527828500.7614,b,l,
569.85000,75.74361034,1527828500.7648,b,l,
569.85000,0.03200000,1527828500.7676,b,l,
569.99000,0.02300000,1527828500.7865,b,m,
570.06000,0.02700000,1527828500.7901,b,m,
570.22000,7.43955193,1527828500.793,b,m,
570.22000,1.00000000,1527828500.7972,b,m,
570.22000,0.02900000,1527828500.8005,b,m,
570.22000,0.02900000,1527828500.8038,b,m,
570.22000,0.03100000,1527828500.8072,b,m,
