price,quantity,timestamp,buy_or_sell,limit_or_market,
7500.70000,0.07251156,1527829412.8257,b,m,
7503.00000,0.00360000,1527829412.8287,b,m,
7503.10000,0.22623324,1527829412.8315,b,m,
7507.50000,1.00000000,1527829412.8351,b,m,
7507.80000,0.54365520,1527829412.8378,b,m,
7496.60000,0.10000000,1527829429.4039,s,l,
7496.40000,0.07856708,1527829429.4243,s,l,
7496.40000,0.00020292,1527829429.4264,s,l,
7499.80000,0.05000000,1527829446.7133,b,l,
7496.00000,0.00060296,1527829460.0541,s,m,
7496.00000,0.00146484,1527829460.0607,s,m,
7496.10000,0.01208218,1527829554.621,s,l,
7496.10000,0.00206875,1527829569.6604,s,l,
7497.00000,0.00406490,1527829588.6746,s,l,
7497.10000,0.10000000,1527829632.184,b,l,
7497.10000,0.15000000,1527829632.1899,b,l,
7497.10000,0.07200000,1527829683.8014,b,l,
7497.10000,0.05700000,1527829730.7064,b,l,
7497.10000,0.05700000,1527829733.0327,s,l,
7497.10000,0.03449314,1527829739.5826,s,m,
7497.10000,0.00007686,1527829739.5858,s,m,
7497.10000,0.11710090,1527829767.2288,s,l,
7497.10000,0.07997489,1527829767.6517,s,l,
7497.10000,0.02115454,1527829825.0977,s,l,
7497.10000,0.01785903,1527829859.1838,s,l,
7497.10000,0.01534064,1527829895.4849,s,l,
7497.10000,0.05025936,1527829895.4898,s,l,
7497.10000,0.00674064,1527829897.3958,s,l,
7497.00000,0.11225936,1527829897.3995,s,l,
7497.00000,0.01705574,1527829972.4828,s,l,
7496.20000,0.18490000,1527830022.3144,s,l,
7496.40000,0.00062514,1527830063.3814,s,m,
7496.40000,0.00143750,1527830063.4025,s,m,
7496.20000,0.11560000,1527830070.7688,s,l,
7496.00000,0.05000000,1527830094.3647,s,l,
7496.00000,0.06845999,1527830094.3692,s,l,
7496.00000,0.00543115,1527830224.799,s,m,
7496.00000,0.00000885,1527830224.8213,s,m,
7496.00000,0.02610001,1527830261.5144,s,l,
7492.20000,0.04849999,1527830264.2331,s,l,
7493.70000,0.02590000,1527830265.6292,s,l,
7493.70000,0.08000000,1527830265.9889,s,m,
7497.00000,0.01010000,1527830436.7288,b,l,
7496.00000,0.14600000,1527830660.2311,b,m,
7497.00000,0.40040000,1527830660.2466,b,m,
7495.90000,0.00064920,1527830669.9112,s,m,
7495.90000,0.00141042,1527830669.9179,s,m,
7495.90000,0.00810000,1527830805.2337,s,l,
7495.90000,0.03880000,1527830830.5591,s,l,
7495.90000,0.95104038,1527830844.6969,s,l,
7492.30000,0.00380000,1527830852.3623,s,l,
7492.80000,0.00800000,1527830885.0694,b,l,
7493.40000,0.05780000,1527830885.0739,b,l,
7496.00000,0.48446000,1527830885.0777,b,l,
7493.80000,0.55026000,1527830948.9174,s,m,
7494.00000,0.00295056,1527830965.1199,b,l,
7492.50000,0.00499870,1527830988.8493,b,l,
7495.80000,0.04500130,1527831029.4997,s,l,
7492.30000,0.00385582,1527831114.9402,s,l,
7492.40000,0.04800000,1527831154.3443,b,l,
7492.50000,0.01691531,1527831154.3503,b,l,
7492.50000,0.04800000,1527831156.3382,s,l,
7492.50000,0.01387469,1527831157.9961,s,l,
7492.30000,0.29193854,1527831158.0196,s,l,
7492.30000,0.00075677,1527831158.0227,s,l,
7494.00000,0.04800000,1527831205.4257,s,l,
7486.70000,0.04377100,1527831303.2602,s,m,
7486.70000,0.00200000,1527831303.2733,s,m,
7486.70000,0.00176391,1527831303.28,s,m,
7486.70000,0.00175226,1527831303.2869,s,m,
7486.70000,0.00174801,1527831303.2935,s,m,
7486.70000,0.17490000,1527831303.3001,s,m,
7486.60000,0.10000000,1527831345.7045,s,l,
7486.00000,0.02324544,1527831354.7793,s,m,
7484.20000,1.00000000,1527831354.7823,s,m,
7483.60000,0.97675456,1527831354.7854,s,m,
7483.70000,0.12000000,1527831360.4271,s,l,
7483.60000,0.02324544,1527831371.289,s,l,
7482.40000,0.06995456,1527831371.2983,s,l,
7482.40000,0.09820000,1527831376.529,s,l,
7482.40000,0.05486293,1527831381.1745,s,l,
7482.40000,0.00013707,1527831381.1843,s,l,
7482.50000,1.00000000,1527831390.843,s,m,
7485.70000,0.10000000,1527831415.6186,b,l,
7485.90000,0.00636994,1527831422.3249,b,l,
7487.00000,0.15403246,1527831442.8845,s,l,
7487.00000,0.00039754,1527831442.8921,s,l,
7489.30000,0.01000000,1527831532.6086,b,l,
7489.30000,0.10900000,1527831544.3334,b,m,
7489.30000,0.89100000,1527831544.3523,b,m,
7488.30000,0.00700000,1527831632.3058,b,l,
7489.80000,0.00246285,1527831634.6873,b,m,
7489.90000,0.00249326,1527831634.6988,b,m,
7494.00000,0.00790389,1527831634.703,b,m,
7486.60000,0.01282665,1527831849.7163,s,m,
7486.00000,0.10000000,1527831888.5032,s,m,
7485.70000,1.00000000,1527831888.5086,s,m,
7485.40000,0.40000000,1527831888.5118,s,m,
7486.10000,0.15000000,1527831909.0957,s,l,
7481.60000,0.01367062,1527831919.2826,s,m,
7485.70000,0.02260000,1527831945.9201,b,l,
7485.70000,0.00410000,1527831945.9983,b,l,
7485.70000,0.01850000,1527831946.3086,b,l,
7489.90000,0.01269000,1527831947.2348,b,m,
7483.20000,0.02500000,1527831948.7947,s,l,
7489.70000,0.02260000,1527831953.6137,b,l,
7483.70000,0.03529000,1527831957.5254,s,l,
7483.40000,0.02867593,1527831957.5297,s,l,
7481.60000,0.10000000,1527832010.4414,s,l,
7483.30000,0.01152000,1527832012.4309,s,l,
7481.60000,0.06000000,1527832088.21,s,l,
7479.40000,0.15000000,1527832116.8666,s,l,
7478.60000,0.05000000,1527832143.6055,s,l,
7479.80000,0.04840000,1527832212.622,s,l,
7481.00000,0.00245000,1527832213.8354,b,m,
